event_id,event_type,location,venue_type,venue_name,guest_count,season,event_date,duration_hours,photography_cost,photographer_name,photographer_contact,photographer_rating,photographer_experience,decoration_cost,decorator_name,decorator_contact,decorator_rating,decorator_experience,catering_cost,catering_per_person,caterer_name,caterer_contact,caterer_rating,caterer_experience,venue_cost,venue_contact,music_dj_cost,music_dj_name,music_dj_contact,music_dj_rating,music_dj_experience,videography_cost,videographer_name,videographer_contact,videographer_rating,videographer_experience,miscellaneous_cost,total_cost,total budget,cost_per_guest,has_music,has_videography,payment_status,booking_advance
EV0001,Wedding,Colombo,Restaurant,Restaurant - Colombo,275,Regular Season,15/05/2025,6,54355,Elite Photography,077-1109031,4.9,15,44914,Dream Decorations,077-3678638,4.5,7,331484,1205,Royal Caterers,077-8090293,4.8,15,180469,011-4854228,92346,Party Beats,077-5661907,4.5,8,91998,Video Art Studio,077-3608513,4.5,7,52490,905599,"100,000",3293,Yes,Yes,Paid,354490
EV0002,Corporate Event,Galle,Temple Hall,Temple Hall - Galle,74,Peak Season (Dec-Jan),05/03/2025,3,41219,Royal Pictures,077-2694522,4.6,9,121403,Modern Elegance,077-7377459,4.7,10,154512,2088,Feast Makers,077-5663623,4.6,9,68172,011-5803481,27603,Celebration Sounds,077-7120868,4.4,6,88003,Perfect Motion,077-3728882,4.4,6,29922,595098,"100,001",8041,Yes,Yes,Paid,161303
EV0003,Corporate Event,Galle,Garden Venue,Garden Venue - Galle,186,Regular Season,23/05/2025,10,51900,Elite Photography,077-8698256,4.9,15,53270,Dream Decorations,077-3396987,4.5,7,491486,2642,Elite Catering,077-5443951,4.8,16,132025,011-3171304,92919,Music Magic,077-5137722,4.5,7,92458,Dream Videos,077-5408072,4.7,10,36746,998198,"100,002",5366,Yes,Yes,Partial,378880
EV0004,Anniversary,Jaffna,Garden Venue,Garden Venue - Jaffna,170,Peak Season (Dec-Jan),28/01/2024,8,41280,Perfect Frames,077-6707197,4.8,11,101823,Flower Paradise,077-2871534,4.8,12,297024,1747,Taste of Ceylon,077-5924115,4.7,12,178039,011-5647075,67812,Party Beats,077-3653446,4.5,8,81094,Motion Pictures,077-8612220,4.6,9,18382,864137,"100,003",5083,Yes,Yes,Paid,337672
EV0005,Corporate Event,Batticaloa,Beach Resort,Beach Resort - Batticaloa,272,Peak Season (Dec-Jan),25/05/2024,3,43584,Candid Clicks,077-9153566,4.4,6,93566,Luxury Decor,077-2161193,4.8,14,276624,1017,Feast Makers,077-9937326,4.6,9,338163,011-8424284,0,N/A,N/A,0,0,30416,Motion Pictures,077-3109911,4.6,9,23206,779080,"100,004",2864,No,Yes,Paid,258615
EV0006,Engagement,Kandy,Temple Hall,Temple Hall - Kandy,134,Off Season (May-Sep),06/05/2025,3,36398,Vision Studios,077-6543670,4.5,7,57390,Royal Events Decor,077-2188789,4.9,15,286471,2137,Gourmet Lanka,077-9626108,4.9,18,20896,011-3996527,23541,Music Magic,077-5672073,4.5,7,39849,Cinematic Dreams,077-9143903,4.8,12,15936,543464,"100,005",4055,Yes,Yes,Paid,167303
EV0007,Engagement,Nuwara Eliya,Convention Center,Convention Center - Nuwara Eliya,201,Off Season (May-Sep),16/04/2025,4,43232,Dream Shots,077-8526486,4.3,5,58806,Royal Events Decor,077-3351868,4.9,15,435587,2167,Royal Caterers,077-8077999,4.8,15,126191,011-3539209,0,N/A,N/A,0,0,67906,Cinematic Dreams,077-5673212,4.8,12,22309,745014,"100,006",3706,No,Yes,Partial,186224
EV0008,Wedding,Matara,Beach Resort,Beach Resort - Matara,175,Regular Season,19/10/2024,10,42148,Vision Studios,077-9164991,4.5,7,68008,Elegant Decor,077-3597059,4.6,8,343612,1963,Royal Caterers,077-4185957,4.8,15,280643,011-4488965,0,N/A,N/A,0,0,0,N/A,N/A,0,0,31563,874331,"100,007",4996,No,No,Paid,344260
EV0009,Engagement,Batticaloa,Community Hall,Community Hall - Batticaloa,94,Peak Season (Dec-Jan),23/10/2024,10,48718,Sunset Photography,077-9770838,4.8,10,41242,Creative Designs,077-6307805,4.3,5,99828,1062,Elite Catering,077-5374922,4.8,16,44291,011-3713450,20343,Elite Entertainment,077-6271130,4.8,12,63531,Cinema Visions,077-5004485,4.8,11,13834,353928,"100,008",3765,Yes,Yes,Paid,98801
EV0010,Corporate Event,Matara,Beach Resort,Beach Resort - Matara,52,Off Season (May-Sep),09/04/2024,12,39846,Perfect Frames,077-1131249,4.8,11,41111,Creative Designs,077-6022741,4.3,5,105019,2019,Feast Makers,077-2737893,4.6,9,172715,011-9876315,0,N/A,N/A,0,0,83717,Cinema Visions,077-3253031,4.8,11,32807,513610,"100,009",9877,No,Yes,Paid,114579
EV0011,Wedding,Batticaloa,Restaurant,Restaurant - Batticaloa,294,Peak Season (Dec-Jan),10/06/2024,10,39370,Golden Hour Photography,077-1162230,4.7,13,73852,Royal Events Decor,077-2876932,4.9,15,476280,1620,Flavors Catering,077-2262382,4.4,7,100930,011-9927661,33450,Rhythm Masters,077-3500715,4.6,9,36530,Cinematic Dreams,077-1604451,4.8,12,35060,823740,"100,010",2801,Yes,Yes,Paid,260715
EV0012,Birthday,Anuradhapura,Hotel Ballroom,Hotel Ballroom - Anuradhapura,69,Peak Season (Dec-Jan),26/06/2025,10,40972,Royal Pictures,077-7907400,4.6,9,91029,Elegant Decor,077-5163555,4.6,8,66205,959,Flavors Catering,077-5476257,4.4,7,262701,011-3335448,73875,Rhythm Masters,077-2813543,4.6,9,54169,Cinematic Dreams,077-7417985,4.8,12,11042,680930,"100,011",9868,Yes,Yes,Paid,253114
EV0013,Birthday,Negombo,Community Hall,Community Hall - Negombo,69,Off Season (May-Sep),11/05/2024,5,37990,Elite Photography,077-8290770,4.9,15,51274,Royal Events Decor,077-6799667,4.9,15,81247,1177,Taste of Ceylon,077-6262632,4.7,12,79190,011-5660737,96846,Rhythm Masters,077-9580255,4.6,9,58897,Epic Moments,077-2940214,4.9,14,27127,414252,"100,012",6003,Yes,Yes,Partial,157374
EV0014,Birthday,Kurunegala,Temple Hall,Temple Hall - Kurunegala,30,Peak Season (Dec-Jan),13/01/2024,5,35479,Vision Studios,077-4218542,4.5,7,95590,Luxury Decor,077-8053918,4.8,14,44280,1476,Divine Dishes,077-7361002,4.6,8,69204,011-7681754,41376,DJ Paradise,077-3919694,4.7,11,0,N/A,N/A,0,0,36371,341922,"100,013",11397,Yes,No,Paid,96153
EV0015,Wedding,Kurunegala,Convention Center,Convention Center - Kurunegala,370,Off Season (May-Sep),30/04/2025,10,33564,Golden Hour Photography,077-4340845,4.7,13,63135,Creative Designs,077-3472189,4.3,5,457690,1237,Flavors Catering,077-1409790,4.4,7,122810,011-2387668,60583,Live Band Entertainment,077-5107776,4.9,15,51966,Epic Moments,077-8971465,4.9,14,16120,815606,"100,014",2204,Yes,Yes,Paid,237409
EV0016,Engagement,Negombo,Temple Hall,Temple Hall - Negombo,206,Regular Season,12/02/2024,8,35615,Dream Shots,077-6323376,4.3,5,72327,Royal Events Decor,077-8425149,4.9,15,321360,1560,Spice Garden Catering,077-9468772,4.5,10,45413,011-5579760,0,N/A,N/A,0,0,103151,Perfect Motion,077-8481188,4.4,6,50562,721170,"100,015",3500,No,Yes,Paid,251494
EV0017,Anniversary,Matara,Convention Center,Convention Center - Matara,110,Off Season (May-Sep),03/01/2024,4,25748,Vision Studios,077-7838382,4.5,7,71772,Stylish Setups,077-6551268,4.5,8,167585,1523,Divine Dishes,077-8816912,4.6,8,171861,011-5487767,72025,Celebration Sounds,077-2044645,4.4,6,0,N/A,N/A,0,0,22015,511276,"100,016",4647,Yes,No,Paid,187422
EV0018,Anniversary,Nuwara Eliya,Hotel Ballroom,Hotel Ballroom - Nuwara Eliya,187,Regular Season,11/02/2024,10,49112,Dream Shots,077-3768991,4.3,5,74698,Stylish Setups,077-8841505,4.5,8,462376,2472,Taste of Ceylon,077-3141239,4.7,12,342114,011-7219869,0,N/A,N/A,0,0,72129,Dream Videos,077-9961107,4.7,10,41636,1156304,"100,017",6183,No,Yes,Paid,440997
EV0019,Engagement,Nuwara Eliya,Hotel Ballroom,Hotel Ballroom - Nuwara Eliya,101,Regular Season,22/06/2024,3,43581,Dream Shots,077-6871360,4.3,5,71297,Dream Decorations,077-4761823,4.5,7,193011,1911,Elite Catering,077-2151225,4.8,16,228130,011-8553457,0,N/A,N/A,0,0,79068,Cinema Visions,077-1675419,4.8,11,14651,724187,"100,018",7170,No,Yes,Paid,282376
